discount,price,weather,category,temperature,day,lead_time,window_length,time_of_day,is_reserved,is_collected
0.5660215053763441,10.09,Light rain shower,DRINKS_BEVERAGES,6.1,Thursday,1.6033333333333333,1.0,11.0,True,True
0.3071111111111111,15.59,Patchy rain possible,SWEET_TREATS_DESSERTS,2.4,Saturday,2.2244444444444444,1.0,14.0,True,True
0.5573770491803278,10.8,Patchy rain possible,SWEET_TREATS_DESSERTS,4.8,Wednesday,2.8308333333333335,1.0,17.0,True,True
0.4752808988764045,9.34,Patchy rain possible,SWEET_TREATS_DESSERTS,2.4,Tuesday,5.575833333333334,2.0,13.0,True,True
0.58,8.82,Patchy rain possible,VEGAN_VEGETARIAN,3.1,Thursday,2.1775,1.0,21.0,True,True
0.7466666666666667,0.19,Partly cloudy,BREAKFAST_ITEMS,0.1,Sunday,4.8,1.0,15.0,True,True
0.27817258883248724,14.22,Patchy rain possible,DRINKS_BEVERAGES,2.4,Tuesday,7.2725,1.0,21.0,False,False
0.5149425287356322,2.11,Light rain shower,DRINKS_BEVERAGES,9.8,Monday,9.412222222222223,1.0,16.0,True,False
0.406060606060606,4.9,Light rain shower,SNACKS_SAVOURY_ITEMS,7.3,Tuesday,0.8241666666666667,1.0,10.0,True,False
0.4502564102564102,5.36,Light rain shower,SNACKS_SAVOURY_ITEMS,5.8,Thursday,4.4925,1.0,21.0,True,False
0.3895454545454546,13.43,Patchy rain possible,VEGAN_VEGETARIAN,2.4,Friday,1.1366666666666667,4.0,19.0,True,True
0.6366906474820143,1.01,Patchy rain possible,BREAD_BAKED_GOODS,2.4,Tuesday,0.5058333333333334,1.0,21.0,True,True
0.5301010101010101,11.63,Patchy rain possible,BREAKFAST_ITEMS,3.7,Wednesday,1.4777777777777779,9.0,8.0,True,True
0.4778523489932886,7.78,Patchy rain possible,DRINKS_BEVERAGES,2.4,Saturday,0.7408333333333333,4.0,11.0,True,True
0.42116402116402113,5.47,Light rain shower,SWEET_TREATS_DESSERTS,7.3,Tuesday,1.631388888888889,1.0,14.0,True,True
0.6163522012578617,6.1,Patchy rain possible,SWEET_TREATS_DESSERTS,4.8,Wednesday,0.7863888888888889,1.0,19.0,True,True
0.5259822560202788,11.22,Light rain shower,DAIRY_EGGS,7.3,Tuesday,5.614166666666667,1.0,20.0,True,True
0.7396226415094339,6.21,Light rain shower,SWEET_TREATS_DESSERTS,7.3,Tuesday,2.38,1.0,20.0,True,True
0.4067114093959732,13.26,Patchy rain possible,DRINKS_BEVERAGES,3.7,Wednesday,0.3522222222222222,5.0,12.0,False,False
0.6889344262295082,7.59,Partly cloudy,SWEET_TREATS_DESSERTS,0.1,Sunday,1.6011111111111112,3.0,17.0,True,True
0.624031007751938,8.73,Moderate or heavy snow showers,FRUIT_VEGETABLES,-0.3,Monday,1.1413888888888888,2.0,14.0,True,False
0.2968421052631579,13.36,Light rain shower,SWEET_TREATS_DESSERTS,9.8,Monday,0.5869444444444445,1.0,19.0,False,False
0.5857894736842105,7.87,Moderate or heavy snow showers,SWEET_TREATS_DESSERTS,0.8,Saturday,0.7011111111111111,3.0,17.0,False,False
0.43119777158774364,10.21,Moderate or heavy snow showers,READY_MEALS_HOT_FOOD,0.8,Saturday,1.4616666666666667,2.0,21.0,True,False
0.7127049180327869,7.01,Light rain shower,BREAKFAST_ITEMS,6.1,Thursday,2.6238888888888887,2.0,19.0,True,True
0.5228070175438596,2.72,Light drizzle,BREAKFAST_ITEMS,9.2,Sunday,0.34444444444444444,1.0,12.0,True,True
0.6465,7.07,Partly cloudy,VEGAN_VEGETARIAN,0.1,Sunday,0.78,1.0,15.0,True,True
0.4766666666666666,6.28,Moderate or heavy snow showers,VEGAN_VEGETARIAN,-0.3,Monday,1.2516666666666667,1.0,21.0,False,False
0.41,11.21,Patchy rain possible,VEGAN_VEGETARIAN,4.9,Friday,4.370833333333334,6.0,12.0,True,True
0.37213970293055,15.64,Light rain shower,SNACKS_SAVOURY_ITEMS,9.8,Monday,1.6633333333333333,1.0,12.0,False,False
0.31404011461318043,11.97,Light rain shower,SWEET_TREATS_DESSERTS,5.8,Thursday,0.7941666666666667,3.0,15.0,False,False
0.5627118644067797,2.58,Partly cloudy,DRINKS_BEVERAGES,0.1,Sunday,5.941666666666666,4.0,17.0,True,True
0.2576923076923076,17.37,Light rain shower,READY_MEALS_HOT_FOOD,5.8,Thursday,0.5436111111111112,1.0,15.0,False,False
0.5153039832285116,11.56,Patchy rain possible,SWEET_TREATS_DESSERTS,4.9,Friday,0.46055555555555555,1.0,22.0,False,False
0.45660377358490567,12.96,Patchy rain possible,SWEET_TREATS_DESSERTS,4.8,Wednesday,1.808888888888889,4.0,15.0,True,True
0.5536105032822758,10.2,Light rain shower,SWEET_TREATS_DESSERTS,9.8,Monday,0.8066666666666666,2.0,20.0,True,True
0.48318584070796466,5.84,Patchy rain possible,BREAKFAST_ITEMS,2.4,Saturday,8.356666666666667,1.0,21.0,True,False
0.7098468271334792,6.63,Patchy rain possible,SWEET_TREATS_DESSERTS,2.4,Friday,2.405,2.0,20.0,True,True
0.25070993914807305,18.47,Moderate or heavy snow showers,DRINKS_BEVERAGES,-0.3,Monday,2.5766666666666667,1.0,10.0,False,False
