bundle_id,vendor_id,name,description,retail_price,price,category,posting_time,collection_start,collection_end
a5c27ec0-366f-4c58-8de0-7759a5876224,0085a9a8-b124-44e7-8cb3-141046bc183e,Blackbean Cafe Drinks & Beverages Bundle,Drinks & Beverages bundle from Blackbean Cafe. Contains 3 product(s).,23.25,10.09,DRINKS_BEVERAGES,2025-09-16T09:23:48,2025-09-16T11:00:00,2025-09-16T12:00:00
9817d96c-2dc8-43e5-af28-19d60790a650,8da7113a-8d38-4500-bc1d-2280b1ae3ce2,Bean & Brew Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Bean & Brew. Contains 5 product(s).,22.5,15.59,SWEET_TREATS_DESSERTS,2025-11-08T11:46:32,2025-11-08T14:00:00,2025-11-08T15:00:00
d98cf732-1d1e-46ea-a4ac-3880f528bf6e,3cdd20b4-f7cd-40a4-8004-f816ec230b1a,Delectable Deserts Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Delectable Deserts. Contains 3 product(s).,24.4,10.8,SWEET_TREATS_DESSERTS,2025-08-10T14:10:09,2025-08-10T17:00:00,2025-08-10T18:00:00
799188fd-3c09-43bf-a299-eb8ce964b927,1a07fa2b-b9e1-44cc-938c-88534eacef52,Azure Bakery Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Azure Bakery. Contains 3 product(s).,17.8,9.34,SWEET_TREATS_DESSERTS,2025-07-07T07:25:27,2025-07-07T13:00:00,2025-07-07T15:00:00
0d6b91ab-c7a6-4d6f-8551-425b6f9ec811,22c4d814-1516-45f9-9354-3640c8e65f07,The Bull Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from The Bull. Contains 1 product(s).,21.0,8.82,VEGAN_VEGETARIAN,2025-02-04T18:49:21,2025-02-04T21:00:00,2025-02-04T22:00:00
641980d2-02c6-4f39-812b-23a7fb211640,c8889f66-3499-4abc-80a1-2f5757cd0550,Hiltop Heights Breakfast Items Bundle,Breakfast Items bundle from Hiltop Heights. Contains 1 product(s).,0.75,0.19,BREAKFAST_ITEMS,2025-05-19T07:33:37,2025-05-19T17:00:00,2025-05-19T18:00:00
a3e9ac69-62f4-40ca-a444-dc02b687817b,c3d3af36-d366-482c-944f-ee9d88205a02,Grab & Go Drinks & Beverages Bundle,Drinks & Beverages bundle from Grab & Go. Contains 4 product(s).,19.7,14.22,DRINKS_BEVERAGES,2025-07-20T13:43:39,2025-07-20T21:00:00,2025-07-20T22:00:00
33ab4da5-dfa9-458f-b8c1-8e229c156b41,b2a96f86-86a1-4b87-b406-23e8d789c14b,Grill King Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from Grill King. Contains 1 product(s).,10.95,5.79,VEGAN_VEGETARIAN,2025-06-11T09:59:14,2025-06-11T12:00:00,2025-06-11T16:00:00
80272e49-5655-4591-8205-d74e0bc33e41,22c4d814-1516-45f9-9354-3640c8e65f07,The Bull Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from The Bull. Contains 1 product(s).,22.0,15.41,VEGAN_VEGETARIAN,2025-04-29T20:09:24,2025-04-29T21:00:00,2025-04-29T22:00:00
d98f41f1-9a94-48da-8a6b-9a08409a5f0f,412bf86d-6c5e-40b4-94ac-403cc110a119,Twins Breakfast Bar Drinks & Beverages Bundle,Drinks & Beverages bundle from Twins Breakfast Bar. Contains 3 product(s).,21.75,15.52,DRINKS_BEVERAGES,2025-12-09T10:10:10,2025-12-09T11:00:00,2025-12-09T12:00:00
