reservation_id,bundle_id,user_id,amount_due,reservation_time,collection_time,collection_status
05524ee5-6736-409c-bbbe-0ab352c4f640,bc541ec7-92c4-45b7-892a-0c8c94928194,c4eb8ae6-cd1c-47ee-acec-16d3186789f7,10.09,2025-09-16T09:57:26.961177,2025-09-16T11:22:53.907683,COLLECTED
5ff9b55b-7490-43d9-8785-caf28d94d77e,77dcfb7e-9eab-4f80-8086-aa31338f98e8,d79d279b-6b5d-48a2-b49a-34192aaed0b6,15.59,2025-11-08T12:47:57.427972,2025-11-08T14:51:51.640350,COLLECTED
adc18323-4c4e-43f8-b8bc-5af62b3fbb7e,89a0fc00-2ab3-4bda-980b-b4daea893d50,b134670e-447a-48e4-b0a1-805abd791934,10.8,2025-08-10T14:34:49.780781,2025-08-10T17:26:24.197251,COLLECTED
459eef91-e093-4d5f-bdad-5c4b7ed6141e,49fe0335-38bd-4833-b4f7-16cb7c5c6ebd,c8c7d98e-38cc-452a-85f5-aaeb60e43ceb,9.34,2025-07-07T11:12:47.727761,2025-07-07T13:23:57.361751,COLLECTED
a707242e-82bd-429f-ab6a-ed5cee6d4f4a,cd6a4d67-99f9-42e3-aa31-45970ad0acd2,72411ad0-c9d1-452e-b541-625b803dda99,8.82,2025-02-04T19:42:12.771365,2025-02-04T21:50:32.652124,NO_SHOW
15fb214b-5fc2-451b-8e73-709b5d87a062,fda308bc-a4b0-4332-a146-5cd5fbd6ca85,3fb8ecd2-09f4-46b2-89bb-d7c31670b04c,0.19,2025-05-19T13:48:35.283787,2025-05-19T17:13:23.678309,COLLECTED
42607c18-1d5f-4355-a7da-af73d73f45b9,03621b70-1f59-424a-83b0-b439164525d6,ff099876-fadc-473e-9c71-3b9bcf781744,5.79,2025-06-11T12:41:29.648269,2025-06-11T15:36:34.924358,COLLECTED
db4560b2-d6ea-4fa4-b2a0-7ff7c8922242,55c1e027-1351-4f35-b4ee-e5b286d768d1,38bdc608-2bd2-4673-a134-bfbc71bb7dae,15.41,2025-04-29T20:11:59.908671,2025-04-29T21:10:16.370733,COLLECTED
ec1e9c77-9d45-4812-9a04-81ca4f79c0c3,c2a6e665-fd12-402a-8858-4802a92e8434,ab21a6f3-a852-42d2-97eb-4a14d05425a7,5.79,2025-06-25T11:55:33.125147,2025-06-25T15:23:04.493008,COLLECTED
fd3e1672-91a4-4794-9dcf-bd7dddc6aa69,6a74a25f-7149-430c-94cf-b3a47393f6a7,90410f40-7b40-40ee-91e9-3519f1f03aee,7.65,2025-07-20T10:54:08.121461,2025-07-20T11:21:22.842688,COLLECTED
a4562de9-a9b3-4559-8f61-bb650c0fd113,bc6337b4-e944-483d-9034-ba2222fd44b8,232bea06-0922-42fc-a8fc-59e1a52a97f7,7.49,2025-10-19T12:11:44.113331,2025-10-19T14:15:08.559686,COLLECTED
