bundle_id,product_id,quantity
bc541ec7-92c4-45b7-892a-0c8c94928194,d3bc1d17-fc4f-4d86-88f1-da5ae5892a61,3
bc541ec7-92c4-45b7-892a-0c8c94928194,18dd02d8-30a3-44ec-8a8b-8e05b44a8281,1
bc541ec7-92c4-45b7-892a-0c8c94928194,40dc9357-9854-4740-b38b-28014ef20121,1
77dcfb7e-9eab-4f80-8086-aa31338f98e8,fb183734-7489-4860-9b5a-f41e375398b5,1
77dcfb7e-9eab-4f80-8086-aa31338f98e8,1cc19b83-36f4-4908-bc2f-4b407884339a,2
77dcfb7e-9eab-4f80-8086-aa31338f98e8,1c4da786-14e4-4c04-94a6-a0c2c2b6687d,1
77dcfb7e-9eab-4f80-8086-aa31338f98e8,9051af0d-dd2b-44a4-bf7e-90524de0eb29,1
77dcfb7e-9eab-4f80-8086-aa31338f98e8,4a5329f9-bda1-4412-8345-3862af106616,1
89a0fc00-2ab3-4bda-980b-b4daea893d50,76f15470-0cde-4e2a-adea-552ebc5061de,1
89a0fc00-2ab3-4bda-980b-b4daea893d50,de854378-3cfe-4384-a386-b0e95898b5f5,1
89a0fc00-2ab3-4bda-980b-b4daea893d50,06003dda-82af-441a-97a9-e3f92e7ad8fb,1
49fe0335-38bd-4833-b4f7-16cb7c5c6ebd,ba66bd56-dd43-40c8-8a8d-5c30d6a08e3c,1
49fe0335-38bd-4833-b4f7-16cb7c5c6ebd,b3511a09-6599-40fc-9120-00b02392513a,1
49fe0335-38bd-4833-b4f7-16cb7c5c6ebd,142d3358-2c14-453d-aaf7-29b943891a34,3
cd6a4d67-99f9-42e3-aa31-45970ad0acd2,77ace0b0-b14f-4343-8596-211cc0def700,1
fda308bc-a4b0-4332-a146-5cd5fbd6ca85,480e184c-7dca-493c-851e-146c323cb03d,1
2f7a5dda-f7f9-4b07-afb8-263d6aa35216,e831cd51-665f-428c-8766-999194888ae0,2
2f7a5dda-f7f9-4b07-afb8-263d6aa35216,26c47762-8cb4-4ff2-bd23-cb3ca4747147,2
2f7a5dda-f7f9-4b07-afb8-263d6aa35216,b86115fb-0ed8-4fba-bf75-bb9f3510f429,1
2f7a5dda-f7f9-4b07-afb8-263d6aa35216,6b4cbdb5-e694-42c0-a36b-28c55b14b6e9,1
03621b70-1f59-424a-83b0-b439164525d6,4a71b097-99e0-4f1a-9640-aaf58353e82d,3
55c1e027-1351-4f35-b4ee-e5b286d768d1,28ef2e70-162b-48bb-aac6-548e4196be31,1
762661a0-1945-4475-aeae-83cc6a457ab8,4c1d76cd-d930-4c12-994b-808ea01e6ca8,1
762661a0-1945-4475-aeae-83cc6a457ab8,93a416eb-5674-4591-9cf7-f6e59abc2577,1
762661a0-1945-4475-aeae-83cc6a457ab8,0822e506-bafd-43f3-8730-6834844d7045,3
c2a6e665-fd12-402a-8858-4802a92e8434,1515790b-f0fe-43e4-ab22-518bb4c2eee4,2
c2a6e665-fd12-402a-8858-4802a92e8434,d21a6a98-5b37-49d0-8d81-a1671ca27e9c,2
f9a1177b-589b-4e17-915a-3cb76c2ab739,d4135639-74fa-4462-99a7-1d6e07a7c423,1
f9a1177b-589b-4e17-915a-3cb76c2ab739,d9d812d5-ef82-4df0-9f5d-4b37368f063d,2
6a74a25f-7149-430c-94cf-b3a47393f6a7,78efcf94-e2e0-4e5e-b4af-86b02c7cafc0,2
6a74a25f-7149-430c-94cf-b3a47393f6a7,f3425ed2-1342-4699-bcec-c14d250ff6b6,3
bc6337b4-e944-483d-9034-ba2222fd44b8,024e9ff4-2772-432a-aa6d-9923ae5712b1,2
bc6337b4-e944-483d-9034-ba2222fd44b8,f26ff3f1-9193-4783-ad8a-20a5fb875f5c,1
4482b2b7-4121-499e-8060-75b71ee0d581,696dbb58-ee6b-44d0-83e4-2328cec5c4f3,1
84821072-d9ec-42a0-a780-04b264bad584,356c11ef-ffc9-4589-a49c-46cf615f7b32,2
6cb63566-2ecb-434f-9608-dbd14d5d2fc5,9870c347-21a9-475d-afee-01b8e620bfda,3
6cb63566-2ecb-434f-9608-dbd14d5d2fc5,7cfd03df-05f0-4dbf-a72a-8c00caefe92a,1
6cb63566-2ecb-434f-9608-dbd14d5d2fc5,a5093de4-e471-4401-8cd8-eb1de94f8619,1
2ba37992-d519-44ec-ad58-b9249401fd25,40111bd4-e092-437f-8bea-b91b4b14e093,2
2ba37992-d519-44ec-ad58-b9249401fd25,37335333-3d33-4c4d-8138-58e31c5a3cd7,2
2ba37992-d519-44ec-ad58-b9249401fd25,25e33070-2ebd-46dc-8555-ec383eabb763,3
51cc8b33-658c-4ff6-88c9-6eda77dd50f1,6789207a-319e-4e39-9ab8-2f22d67df8ac,1
44c8d2df-4605-4809-a0b0-2fc1702026a7,75cac056-e387-42df-97eb-2dd2b8e74690,3
44c8d2df-4605-4809-a0b0-2fc1702026a7,196d1bf4-f3ca-445f-aafd-670e3ac64677,2
44c8d2df-4605-4809-a0b0-2fc1702026a7,f277f22a-276f-4f39-ae03-e20fce6256fe,2
7f49e467-9a00-42f2-a51e-20460c42fb36,1d29c463-7aa8-493d-93c9-3a587a8bfb2a,3
7f49e467-9a00-42f2-a51e-20460c42fb36,051fd3e0-bf25-4338-9acf-7240f4767b20,2
7f49e467-9a00-42f2-a51e-20460c42fb36,e881f4a0-57a2-4803-9a4f-5dd9c5bb78d1,2
7f49e467-9a00-42f2-a51e-20460c42fb36,25b96da5-49de-4880-b13e-319542dd54fe,2
7f49e467-9a00-42f2-a51e-20460c42fb36,8e0e6485-c15a-403f-b661-e8308dd7583e,1
4060762a-e73b-41c9-a905-ee6192427294,b84db6dc-af9a-4edc-95b1-351f99e92705,3
7c38710c-9b77-467c-aeab-8f26c598b88b,7c065f63-6e00-4a93-8fe3-7c43bbc1c128,3
7c38710c-9b77-467c-aeab-8f26c598b88b,a93c19cd-5e08-453f-9eb9-eaa1e246b567,1
09efd5b8-542d-4c7d-9a69-498e87442ab4,118a59c7-42d0-47ff-b2e6-6aa53f6d2d36,1
09efd5b8-542d-4c7d-9a69-498e87442ab4,d0be8055-bc6e-4b1c-a651-88acab647dc3,1
b6d48797-4b6e-4f36-b8a8-b12577672518,447ba4f0-f6c0-446b-90cc-6e0f64852ec0,2
b6d48797-4b6e-4f36-b8a8-b12577672518,7f1bb1c0-3f54-42ed-9de1-2c23b9155dc6,2
006ff071-50cf-47a9-bd8b-0e7b6842833b,52176032-7cd9-48b2-9d55-69f6acf5f719,2
006ff071-50cf-47a9-bd8b-0e7b6842833b,a1403447-6778-4923-92c7-093092517a6f,2
006ff071-50cf-47a9-bd8b-0e7b6842833b,e6044246-117c-4897-b99b-2fb41b4ad454,1
006ff071-50cf-47a9-bd8b-0e7b6842833b,803c4090-89cf-40e9-88fe-335939f616ec,3
25402f31-ab43-4d23-b8d4-013ec8b3114e,27211014-c733-4594-a992-d1dbc7f5ba14,3
25402f31-ab43-4d23-b8d4-013ec8b3114e,1dea57dc-bae9-4a82-90b8-37b55d28db3c,3
88fa537c-403e-4fd8-a854-51e8c26c8fe3,539379a0-1baf-43b9-99c2-fbb451c6e218,1
88fa537c-403e-4fd8-a854-51e8c26c8fe3,2fcc16fe-cd0a-4971-a9a4-bb7a9ea09b16,3
