product_id,allergen_id
b8e95464-e63d-47bd-b3f3-532ce579f0a5,db7260b7-31d7-400e-8680-430090c9d1d5
b8e95464-e63d-47bd-b3f3-532ce579f0a5,c8af16e1-b4d3-4d84-bae1-640758422010
539379a0-1baf-43b9-99c2-fbb451c6e218,db7260b7-31d7-400e-8680-430090c9d1d5
539379a0-1baf-43b9-99c2-fbb451c6e218,c8af16e1-b4d3-4d84-bae1-640758422010
4e59d10d-0aad-4465-be7a-8fcc6a3ffd4f,db7260b7-31d7-400e-8680-430090c9d1d5
4e59d10d-0aad-4465-be7a-8fcc6a3ffd4f,c8af16e1-b4d3-4d84-bae1-640758422010
22f767c3-a223-4236-ad2f-661215d20f8e,db7260b7-31d7-400e-8680-430090c9d1d5
22f767c3-a223-4236-ad2f-661215d20f8e,c8af16e1-b4d3-4d84-bae1-640758422010
ec0872a8-4804-49fa-80d0-6b2a7989c4df,db7260b7-31d7-400e-8680-430090c9d1d5
ec0872a8-4804-49fa-80d0-6b2a7989c4df,c8af16e1-b4d3-4d84-bae1-640758422010
11525c9c-7a50-44e1-8a42-6a30564b0716,db7260b7-31d7-400e-8680-430090c9d1d5
11525c9c-7a50-44e1-8a42-6a30564b0716,c8af16e1-b4d3-4d84-bae1-640758422010
c2f9fdce-e588-4e67-835a-74d25b17e03d,db7260b7-31d7-400e-8680-430090c9d1d5
c2f9fdce-e588-4e67-835a-74d25b17e03d,c8af16e1-b4d3-4d84-bae1-640758422010
4e2bfd13-2717-4a26-8d12-3319521ec942,db7260b7-31d7-400e-8680-430090c9d1d5
4e2bfd13-2717-4a26-8d12-3319521ec942,c8af16e1-b4d3-4d84-bae1-640758422010
fb44dcd3-b6cd-45af-96ae-148841979649,db7260b7-31d7-400e-8680-430090c9d1d5
fb44dcd3-b6cd-45af-96ae-148841979649,c8af16e1-b4d3-4d84-bae1-640758422010
378e0f36-0ed3-44f3-b5bf-df75b7cd57e2,db7260b7-31d7-400e-8680-430090c9d1d5
378e0f36-0ed3-44f3-b5bf-df75b7cd57e2,c8af16e1-b4d3-4d84-bae1-640758422010
15f33f0f-9835-47d6-bce9-11016bd3aab5,db7260b7-31d7-400e-8680-430090c9d1d5
15f33f0f-9835-47d6-bce9-11016bd3aab5,c8af16e1-b4d3-4d84-bae1-640758422010
8e65431b-9eaa-4a01-bdff-3baf4dcce728,db7260b7-31d7-400e-8680-430090c9d1d5
8e65431b-9eaa-4a01-bdff-3baf4dcce728,c8af16e1-b4d3-4d84-bae1-640758422010
cb688005-f494-497c-add1-3dcc1f94408e,db7260b7-31d7-400e-8680-430090c9d1d5
cb688005-f494-497c-add1-3dcc1f94408e,c8af16e1-b4d3-4d84-bae1-640758422010
69a6af73-669c-4ce1-ae9c-2bd32c8a1109,db7260b7-31d7-400e-8680-430090c9d1d5
69a6af73-669c-4ce1-ae9c-2bd32c8a1109,c8af16e1-b4d3-4d84-bae1-640758422010
68234c35-69c2-47f5-bcdb-e1d9b01c075c,db7260b7-31d7-400e-8680-430090c9d1d5
68234c35-69c2-47f5-bcdb-e1d9b01c075c,c8af16e1-b4d3-4d84-bae1-640758422010
ab4f518a-7bef-465e-a259-f1fa8c3bef69,db7260b7-31d7-400e-8680-430090c9d1d5
ab4f518a-7bef-465e-a259-f1fa8c3bef69,c8af16e1-b4d3-4d84-bae1-640758422010
726fde02-8431-4750-bdd1-0723a72a291b,db7260b7-31d7-400e-8680-430090c9d1d5
726fde02-8431-4750-bdd1-0723a72a291b,c8af16e1-b4d3-4d84-bae1-640758422010
a0b76011-e768-41c9-ab24-bee4776f7403,db7260b7-31d7-400e-8680-430090c9d1d5
a0b76011-e768-41c9-ab24-bee4776f7403,c8af16e1-b4d3-4d84-bae1-640758422010
d0396dcc-26c4-4b7c-a365-1165625860c8,db7260b7-31d7-400e-8680-430090c9d1d5
d0396dcc-26c4-4b7c-a365-1165625860c8,37194640-432f-4104-993c-b6b39d436db5
d0396dcc-26c4-4b7c-a365-1165625860c8,c8af16e1-b4d3-4d84-bae1-640758422010
ba131122-d352-4428-b87f-2bc676afe048,db7260b7-31d7-400e-8680-430090c9d1d5
ba131122-d352-4428-b87f-2bc676afe048,37194640-432f-4104-993c-b6b39d436db5
ba131122-d352-4428-b87f-2bc676afe048,c8af16e1-b4d3-4d84-bae1-640758422010
86dcace8-4be5-4f1d-89d1-fa7e28507b95,7a7e990a-6320-4bf0-a82c-997235b7dcf0
86dcace8-4be5-4f1d-89d1-fa7e28507b95,db7260b7-31d7-400e-8680-430090c9d1d5
86dcace8-4be5-4f1d-89d1-fa7e28507b95,c8af16e1-b4d3-4d84-bae1-640758422010
dfdf0894-7d4a-4fad-aa06-bc9c0889b957,7a7e990a-6320-4bf0-a82c-997235b7dcf0
dfdf0894-7d4a-4fad-aa06-bc9c0889b957,db7260b7-31d7-400e-8680-430090c9d1d5
dfdf0894-7d4a-4fad-aa06-bc9c0889b957,c8af16e1-b4d3-4d84-bae1-640758422010
724c4078-9029-4c30-b1ba-ef9770f4fddd,7a7e990a-6320-4bf0-a82c-997235b7dcf0
724c4078-9029-4c30-b1ba-ef9770f4fddd,db7260b7-31d7-400e-8680-430090c9d1d5
724c4078-9029-4c30-b1ba-ef9770f4fddd,c8af16e1-b4d3-4d84-bae1-640758422010
109ff1b9-cbd5-44e3-9f26-4937f8f09bfe,7a7e990a-6320-4bf0-a82c-997235b7dcf0
109ff1b9-cbd5-44e3-9f26-4937f8f09bfe,db7260b7-31d7-400e-8680-430090c9d1d5
109ff1b9-cbd5-44e3-9f26-4937f8f09bfe,c8af16e1-b4d3-4d84-bae1-640758422010
705020ce-5de2-4cba-b980-aded93ec754f,7a7e990a-6320-4bf0-a82c-997235b7dcf0
705020ce-5de2-4cba-b980-aded93ec754f,db7260b7-31d7-400e-8680-430090c9d1d5
705020ce-5de2-4cba-b980-aded93ec754f,c8af16e1-b4d3-4d84-bae1-640758422010
94f18668-0a00-4357-8270-0a407c19be08,7a7e990a-6320-4bf0-a82c-997235b7dcf0
94f18668-0a00-4357-8270-0a407c19be08,db7260b7-31d7-400e-8680-430090c9d1d5
94f18668-0a00-4357-8270-0a407c19be08,c8af16e1-b4d3-4d84-bae1-640758422010
c70b3c9d-f13a-4f4d-b69a-12fcafec94c6,db7260b7-31d7-400e-8680-430090c9d1d5
c70b3c9d-f13a-4f4d-b69a-12fcafec94c6,c8af16e1-b4d3-4d84-bae1-640758422010
7ecbb25f-da47-4378-b449-1ead93bb5734,db7260b7-31d7-400e-8680-430090c9d1d5
7ecbb25f-da47-4378-b449-1ead93bb5734,c8af16e1-b4d3-4d84-bae1-640758422010
77887921-b0d7-4e73-b2f8-c3903417f5a7,db7260b7-31d7-400e-8680-430090c9d1d5
77887921-b0d7-4e73-b2f8-c3903417f5a7,c8af16e1-b4d3-4d84-bae1-640758422010
4a9fdcb1-04db-47ed-85cd-b46efb7af507,db7260b7-31d7-400e-8680-430090c9d1d5
4a9fdcb1-04db-47ed-85cd-b46efb7af507,c8af16e1-b4d3-4d84-bae1-640758422010
190ad0d7-65ec-438b-a92c-4c18cd527495,db7260b7-31d7-400e-8680-430090c9d1d5
190ad0d7-65ec-438b-a92c-4c18cd527495,c8af16e1-b4d3-4d84-bae1-640758422010
66e9f662-d95b-4610-ace6-bc02804e665e,db7260b7-31d7-400e-8680-430090c9d1d5
66e9f662-d95b-4610-ace6-bc02804e665e,c8af16e1-b4d3-4d84-bae1-640758422010
ed82603c-7251-44b0-89aa-df48426cfb9d,db7260b7-31d7-400e-8680-430090c9d1d5
ed82603c-7251-44b0-89aa-df48426cfb9d,c8af16e1-b4d3-4d84-bae1-640758422010
c4813c4a-d9eb-490e-bffc-0163b350efe2,db7260b7-31d7-400e-8680-430090c9d1d5
