discount,price,weather,category,temperature,day,lead_time,time_of_day,window_length,is_reserved,is_collected
0.5660215053763441,10.09,Patchy rain possible,DRINKS_BEVERAGES,13.9,Tuesday,1.6033333333333333,11.0,1.0,True,True
0.3071111111111111,15.59,Mist,SWEET_TREATS_DESSERTS,9.7,Saturday,2.2244444444444444,14.0,1.0,True,True
0.5573770491803278,10.8,Mist,SWEET_TREATS_DESSERTS,17.0,Sunday,2.8308333333333335,17.0,1.0,True,True
0.4752808988764045,9.34,Patchy rain possible,SWEET_TREATS_DESSERTS,15.3,Monday,5.575833333333334,13.0,2.0,True,True
0.58,8.82,Moderate rain at times,VEGAN_VEGETARIAN,8.0,Tuesday,2.1775,21.0,1.0,True,False
0.7466666666666667,0.19,Patchy rain possible,BREAKFAST_ITEMS,12.4,Monday,9.439722222222223,17.0,1.0,True,True
0.27817258883248724,14.22,Light rain shower,DRINKS_BEVERAGES,16.8,Sunday,7.2725,21.0,1.0,False,False
0.4712328767123287,5.79,Partly cloudy,VEGAN_VEGETARIAN,15.8,Wednesday,2.012777777777778,12.0,4.0,True,True
0.29954545454545456,15.41,Sunny,VEGAN_VEGETARIAN,12.3,Tuesday,0.8433333333333334,21.0,1.0,True,True
0.28643678160919545,15.52,Light rain,DRINKS_BEVERAGES,12.2,Tuesday,0.8305555555555556,11.0,1.0,False,False
0.7045918367346939,5.79,Patchy rain possible,DRINKS_BEVERAGES,17.2,Wednesday,5.875277777777778,15.0,1.0,True,True
0.30782997762863534,15.47,Overcast,DRINKS_BEVERAGES,3.2,Tuesday,3.031388888888889,10.0,1.0,False,False
0.5203761755485893,7.65,Light rain shower,SWEET_TREATS_DESSERTS,16.8,Sunday,0.29055555555555557,11.0,1.0,True,True
0.6648769574944071,7.49,Light rain shower,DRINKS_BEVERAGES,14.0,Sunday,2.6147222222222224,14.0,1.0,True,True
0.6872,7.82,Patchy rain possible,READY_MEALS_HOT_FOOD,13.4,Sunday,1.7955555555555556,21.0,1.0,True,True
0.6163522012578617,6.1,Partly cloudy,SWEET_TREATS_DESSERTS,16.8,Friday,0.8988888888888888,20.0,1.0,True,True
0.739090909090909,5.74,Moderate rain at times,READY_MEALS_HOT_FOOD,8.4,Friday,0.8922222222222222,16.0,1.0,True,False
0.3275720164609054,16.34,Overcast,BREAKFAST_ITEMS,13.6,Saturday,1.8975,11.0,4.0,True,True
0.7073825503355704,2.18,Light rain shower,DRINKS_BEVERAGES,17.0,Wednesday,0.43583333333333335,7.0,4.0,True,True
0.4465,11.07,Overcast,DRINKS_BEVERAGES,5.0,Saturday,0.6616666666666666,21.0,1.0,False,False
0.5795006570302234,9.6,Partly cloudy,BREAKFAST_ITEMS,16.9,Wednesday,9.268888888888888,20.0,1.0,True,True
0.43937360178970924,12.53,Light rain shower,DRINKS_BEVERAGES,12.8,Monday,5.237777777777778,14.0,2.0,False,False
0.5837837837837838,5.39,Cloudy,SWEET_TREATS_DESSERTS,16.3,Sunday,0.685,11.0,1.0,True,True
0.32959999999999995,4.19,Patchy rain possible,SNACKS_SAVOURY_ITEMS,11.6,Wednesday,1.1344444444444444,9.0,3.0,True,True
0.29894179894179895,2.65,Light rain,FRUIT_VEGETABLES,12.2,Tuesday,9.249444444444444,19.0,3.0,True,True
0.5927966101694916,9.61,Partly cloudy,DRINKS_BEVERAGES,8.9,Monday,6.1130555555555555,16.0,1.0,True,True
0.6537037037037037,3.74,Cloudy,BREAKFAST_ITEMS,10.1,Sunday,0.8069444444444445,15.0,1.0,True,True
0.3310679611650486,13.78,Mist,BREAD_BAKED_GOODS,12.9,Tuesday,0.2861111111111111,13.0,2.0,False,False
