bundleId,vendorId,name,description,price,category,postingTime,collectionStart,collectionEnd,productIds,allergyTypes
0cd9b33a-1202-48f1-a42e-a65b895b5e1f,0085a9a8-b124-44e7-8cb3-141046bc183e,Blackbean Cafe Drinks & Beverages Bundle,Drinks & Beverages bundle from Blackbean Cafe. Contains 5 product(s).,10.09,DRINKS_BEVERAGES,2025-09-16T09:23:48,2025-09-16T11:00:00,2025-09-16T12:00:00,"['d3bc1d17-fc4f-4d86-88f1-da5ae5892a61', 'd3bc1d17-fc4f-4d86-88f1-da5ae5892a61', 'd3bc1d17-fc4f-4d86-88f1-da5ae5892a61', '18dd02d8-30a3-44ec-8a8b-8e05b44a8281', '40dc9357-9854-4740-b38b-28014ef20121']","['DAIRY', 'VEGETARIAN']"
674f503f-3410-4bd1-a351-2f19ac8d3ecf,8da7113a-8d38-4500-bc1d-2280b1ae3ce2,Bean & Brew Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Bean & Brew. Contains 6 product(s).,15.59,SWEET_TREATS_DESSERTS,2025-11-08T11:46:32,2025-11-08T14:00:00,2025-11-08T15:00:00,"['fb183734-7489-4860-9b5a-f41e375398b5', '1cc19b83-36f4-4908-bc2f-4b407884339a', '1cc19b83-36f4-4908-bc2f-4b407884339a', '1c4da786-14e4-4c04-94a6-a0c2c2b6687d', '9051af0d-dd2b-44a4-bf7e-90524de0eb29', '4a5329f9-bda1-4412-8345-3862af106616']","['NUTS', 'VEGETARIAN', 'GLUTEN', 'DAIRY', 'EGGS']"
701436ec-efb2-42a1-9182-44f944a0de2f,3cdd20b4-f7cd-40a4-8004-f816ec230b1a,Delectable Deserts Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Delectable Deserts. Contains 3 product(s).,10.8,SWEET_TREATS_DESSERTS,2025-08-10T14:10:09,2025-08-10T17:00:00,2025-08-10T18:00:00,"['76f15470-0cde-4e2a-adea-552ebc5061de', 'de854378-3cfe-4384-a386-b0e95898b5f5', '06003dda-82af-441a-97a9-e3f92e7ad8fb']","['VEGETARIAN', 'NUTS', 'GLUTEN', 'DAIRY', 'EGGS']"
3e301d56-2a8a-4dfb-9271-9fb91fbd681c,1a07fa2b-b9e1-44cc-938c-88534eacef52,Azure Bakery Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Azure Bakery. Contains 5 product(s).,9.34,SWEET_TREATS_DESSERTS,2025-07-07T07:25:27,2025-07-07T13:00:00,2025-07-07T15:00:00,"['ba66bd56-dd43-40c8-8a8d-5c30d6a08e3c', 'b3511a09-6599-40fc-9120-00b02392513a', '142d3358-2c14-453d-aaf7-29b943891a34', '142d3358-2c14-453d-aaf7-29b943891a34', '142d3358-2c14-453d-aaf7-29b943891a34']","['DAIRY', 'NUTS', 'VEGETARIAN', 'GLUTEN']"
512c6c87-2265-46f1-ac40-657777f4a483,22c4d814-1516-45f9-9354-3640c8e65f07,The Bull Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from The Bull. Contains 1 product(s).,8.82,VEGAN_VEGETARIAN,2025-02-04T18:49:21,2025-02-04T21:00:00,2025-02-04T22:00:00,['77ace0b0-b14f-4343-8596-211cc0def700'],"['VEGETARIAN', 'VEGAN']"
7adad53e-477d-49b7-9df0-038ced8c9380,c8889f66-3499-4abc-80a1-2f5757cd0550,Hiltop Heights Breakfast Items Bundle,Breakfast Items bundle from Hiltop Heights. Contains 1 product(s).,0.19,BREAKFAST_ITEMS,2025-05-19T07:33:37,2025-05-19T17:00:00,2025-05-19T18:00:00,['480e184c-7dca-493c-851e-146c323cb03d'],"['DAIRY', 'VEGETARIAN']"
36156ae6-3a0e-4010-be18-6efb9e017717,c3d3af36-d366-482c-944f-ee9d88205a02,Grab & Go Drinks & Beverages Bundle,Drinks & Beverages bundle from Grab & Go. Contains 6 product(s).,14.22,DRINKS_BEVERAGES,2025-07-20T13:43:39,2025-07-20T21:00:00,2025-07-20T22:00:00,"['e831cd51-665f-428c-8766-999194888ae0', 'e831cd51-665f-428c-8766-999194888ae0', '26c47762-8cb4-4ff2-bd23-cb3ca4747147', '26c47762-8cb4-4ff2-bd23-cb3ca4747147', 'b86115fb-0ed8-4fba-bf75-bb9f3510f429', '6b4cbdb5-e694-42c0-a36b-28c55b14b6e9']","['DAIRY', 'VEGETARIAN']"
b2b1869a-b901-416f-b8c7-0d856175da54,b2a96f86-86a1-4b87-b406-23e8d789c14b,Grill King Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from Grill King. Contains 3 product(s).,5.79,VEGAN_VEGETARIAN,2025-06-11T09:59:14,2025-06-11T12:00:00,2025-06-11T16:00:00,"['4a71b097-99e0-4f1a-9640-aaf58353e82d', '4a71b097-99e0-4f1a-9640-aaf58353e82d', '4a71b097-99e0-4f1a-9640-aaf58353e82d']","['DAIRY', 'VEGETARIAN', 'GLUTEN']"
c767e909-5670-45b9-8ff2-5fa9be8276b2,22c4d814-1516-45f9-9354-3640c8e65f07,The Bull Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from The Bull. Contains 1 product(s).,15.41,VEGAN_VEGETARIAN,2025-04-29T20:09:24,2025-04-29T21:00:00,2025-04-29T22:00:00,['28ef2e70-162b-48bb-aac6-548e4196be31'],"['DAIRY', 'EGGS', 'VEGETARIAN', 'GLUTEN']"
0f056d55-6b6f-4b63-bf2d-f7e310735a07,412bf86d-6c5e-40b4-94ac-403cc110a119,Twins Breakfast Bar Drinks & Beverages Bundle,Drinks & Beverages bundle from Twins Breakfast Bar. Contains 5 product(s).,15.52,DRINKS_BEVERAGES,2025-12-09T10:10:10,2025-12-09T11:00:00,2025-12-09T12:00:00,"['4c1d76cd-d930-4c12-994b-808ea01e6ca8', '93a416eb-5674-4591-9cf7-f6e59abc2577', '0822e506-bafd-43f3-8730-6834844d7045', '0822e506-bafd-43f3-8730-6834844d7045', '0822e506-bafd-43f3-8730-6834844d7045']",['VEGETARIAN']
